pitch_id,game_id,inning,inning_half,outs,balls,strikes,batting_team_name,fielding_team_name,batter_id,pitcher_id,catcher_id,called_strike_or_ball,abs_zone_call,was_challenged,challenge_id,pitch_x,pitch_z,sz_top,sz_bot
P0000956,2025-04-01,9,top,0,1,2,Charlotte Comets,Austin Aces,1019,1011,1001,strike,strike,False,,-0.224,2.064,3.21,1.62
P0000957,2025-04-01,6,top,2,1,0,Charlotte Comets,Austin Aces,1017,1011,1001,ball,ball,False,,-0.143,1.615,3.21,1.62
P0000958,2025-04-01,1,top,2,1,2,Charlotte Comets,Austin Aces,1015,1014,1001,ball,ball,False,,0.545,1.538,3.21,1.62
P0000959,2025-04-01,9,bottom,1,0,0,Austin Aces,Charlotte Comets,1002,1026,1015,strike,strike,False,,0.264,1.654,3.21,1.62
P0000960,2025-04-01,8,top,0,0,1,Charlotte Comets,Austin Aces,1021,1011,1001,strike,strike,False,,-0.625,2.11,3.21,1.62
P0000961,2025-04-01,1,bottom,0,0,1,Austin Aces,Charlotte Comets,1005,1025,1015,strike,strike,False,,-0.217,2.331,3.21,1.62
P0000962,2025-04-01,6,top,2,3,2,Charlotte Comets,Austin Aces,1022,1013,1001,ball,strike,False,,-0.356,1.642,3.21,1.62
P0000963,2025-04-01,6,bottom,1,1,2,Austin Aces,Charlotte Comets,1009,1028,1015,strike,strike,False,,-0.568,2.607,3.21,1.62
P0000964,2025-04-01,9,bottom,1,1,0,Austin Aces,Charlotte Comets,1003,1024,1015,ball,ball,False,,0.177,3.396,3.21,1.62
P0000965,2025-04-01,2,bottom,0,1,0,Austin Aces,Charlotte Comets,1007,1024,1015,strike,strike,False,,0.118,2.277,3.21,1.62
P0000966,2025-04-01,1,top,0,3,0,Charlotte Comets,Austin Aces,1016,1012,1001,ball,ball,False,,-0.831,2.344,3.21,1.62
P0000967,2025-04-01,9,top,0,1,2,Charlotte Comets,Austin Aces,1018,1013,1001,ball,ball,False,,0.157,1.573,3.21,1.62
P0000968,2025-04-01,1,top,2,2,0,Charlotte Comets,Austin Aces,1020,1013,1001,ball,ball,False,,0.888,2.128,3.21,1.62
P0000969,2025-04-01,5,bottom,2,3,1,Austin Aces,Charlotte Comets,1001,1026,1015,strike,strike,False,,0.528,2.309,3.21,1.62
P0000970,2025-04-01,6,top,1,2,2,Charlotte Comets,Austin Aces,1023,1014,1001,strike,strike,False,,0.106,2.775,3.21,1.62
P0000971,2025-04-01,3,top,1,1,1,Charlotte Comets,Austin Aces,1019,1013,1001,strike,strike,False,,-0.024,1.87,3.21,1.62
P0000972,2025-04-01,9,top,1,0,0,Charlotte Comets,Austin Aces,1017,1011,1001,ball,ball,False,,-0.801,2.15,3.21,1.62
P0000973,2025-04-01,7,bottom,0,2,2,Austin Aces,Charlotte Comets,1006,1028,1015,strike,strike,False,,-0.291,1.698,3.21,1.62
P0000974,2025-04-01,9,bottom,1,0,2,Austin Aces,Charlotte Comets,1004,1028,1015,strike,strike,False,,0.45,2.328,3.21,1.62
P0000975,2025-04-01,2,top,2,2,0,Charlotte Comets,Austin Aces,1015,1010,1001,ball,ball,False,,-0.388,3.214,3.21,1.62
P0000976,2025-04-01,1,top,1,0,2,Charlotte Comets,Austin Aces,1021,1014,1001,strike,strike,False,,-0.578,2.691,3.21,1.62
P0000977,2025-04-01,6,top,1,0,1,Charlotte Comets,Austin Aces,1022,1012,1001,ball,ball,False,,0.875,2.588,3.21,1.62
P0000978,2025-04-01,6,top,2,1,1,Charlotte Comets,Austin Aces,1016,1010,1001,strike,ball,False,,-0.189,3.292,3.21,1.62
P0000979,2025-04-01,8,top,0,3,1,Charlotte Comets,Austin Aces,1018,1010,1001,strike,strike,False,,0.339,2.337,3.21,1.62
P0000980,2025-04-01,3,top,0,2,0,Charlotte Comets,Austin Aces,1020,1013,1001,strike,strike,False,,-0.15,2.001,3.21,1.62
P0000981,2025-04-01,6,top,1,1,0,Charlotte Comets,Austin Aces,1023,1010,1001,strike,strike,False,,-0.658,2.028,3.21,1.62
P0000982,2025-04-01,2,top,2,0,2,Charlotte Comets,Austin Aces,1019,1013,1001,strike,ball,False,,0.096,1.616,3.21,1.62
P0000983,2025-04-01,3,bottom,0,3,2,Austin Aces,Charlotte Comets,1008,1028,1015,strike,strike,False,,-0.328,2.475,3.21,1.62
P0000984,2025-04-01,7,bottom,2,0,1,Austin Aces,Charlotte Comets,1002,1027,1015,strike,strike,False,,-0.566,2.161,3.21,1.62
P0000985,2025-04-01,8,bottom,1,3,0,Austin Aces,Charlotte Comets,1005,1025,1015,ball,ball,False,,0.746,1.451,3.21,1.62
P0000986,2025-04-01,7,bottom,0,1,1,Austin Aces,Charlotte Comets,1009,1027,1015,strike,strike,False,,0.221,2.458,3.21,1.62
P0000987,2025-04-01,4,top,2,2,2,Charlotte Comets,Austin Aces,1017,1012,1001,strike,strike,False,,0.046,3.017,3.21,1.62
P0000988,2025-04-01,5,top,0,2,0,Charlotte Comets,Austin Aces,1015,1010,1001,ball,ball,False,,0.166,1.467,3.21,1.62
P0000989,2025-04-01,6,bottom,2,1,2,Austin Aces,Charlotte Comets,1003,1025,1015,ball,ball,False,,-0.636,1.54,3.21,1.62
P0000990,2025-04-01,5,bottom,1,1,0,Austin Aces,Charlotte Comets,1007,1024,1015,strike,strike,False,,-0.413,1.677,3.21,1.62
P0000991,2025-04-01,8,top,0,0,1,Charlotte Comets,Austin Aces,1021,1014,1001,ball,ball,False,,0.87,1.598,3.21,1.62
P0000992,2025-04-01,1,bottom,0,2,2,Austin Aces,Charlotte Comets,1001,1027,1015,strike,strike,False,,0.054,2.365,3.21,1.62
P0000993,2025-04-01,7,top,1,3,1,Charlotte Comets,Austin Aces,1022,1010,1001,strike,strike,False,,-0.072,1.722,3.21,1.62
P0000994,2025-04-01,6,bottom,0,2,0,Austin Aces,Charlotte Comets,1006,1026,1015,ball,strike,False,,0.095,1.632,3.21,1.62
P0000995,2025-04-01,9,bottom,1,2,2,Austin Aces,Charlotte Comets,1004,1024,1015,ball,strike,False,,0.697,2.607,3.21,1.62
P0000996,2025-04-01,6,top,0,0,2,Charlotte Comets,Austin Aces,1016,1012,1001,strike,strike,False,,0.033,3.015,3.21,1.62
P0000997,2025-04-01,1,top,0,0,0,Charlotte Comets,Austin Aces,1018,1014,1001,strike,strike,False,,-0.081,1.708,3.21,1.62
P0000998,2025-04-01,1,bottom,0,1,2,Austin Aces,Charlotte Comets,1008,1025,1015,ball,ball,False,,-0.378,1.4,3.21,1.62
P0000999,2025-04-01,3,bottom,0,0,0,Austin Aces,Charlotte Comets,1002,1028,1015,strike,strike,False,,-0.328,2.291,3.21,1.62
P0001000,2025-04-01,8,bottom,0,0,0,Austin Aces,Charlotte Comets,1005,1027,1015,strike,strike,False,,-0.318,1.651,3.21,1.62
P0001001,2025-04-01,6,top,1,2,1,Charlotte Comets,Austin Aces,1020,1010,1001,strike,strike,False,,0.123,2.468,3.21,1.62
P0001002,2025-04-01,4,top,1,1,2,Charlotte Comets,Austin Aces,1023,1012,1001,strike,strike,False,,-0.312,3.124,3.21,1.62
P0001003,2025-04-01,2,top,1,2,2,Charlotte Comets,Austin Aces,1019,1014,1001,strike,strike,False,,0.682,2.637,3.21,1.62
P0001004,2025-04-01,1,bottom,0,3,1,Austin Aces,Charlotte Comets,1009,1024,1015,strike,strike,False,,0.611,2.076,3.21,1.62
P0001005,2025-04-01,9,top,0,2,2,Charlotte Comets,Austin Aces,1017,1011,1001,ball,strike,False,,-0.098,3.025,3.21,1.62
P0001006,2025-04-01,3,top,2,1,2,Charlotte Comets,Austin Aces,1015,1012,1001,ball,strike,False,,0.68,2.971,3.21,1.62
P0001007,2025-04-01,4,bottom,0,0,2,Austin Aces,Charlotte Comets,1003,1025,1015,strike,strike,False,,0.31,2.713,3.21,1.62
P0001008,2025-04-01,3,top,1,1,1,Charlotte Comets,Austin Aces,1021,1014,1001,strike,strike,False,,0.599,2.853,3.21,1.62
P0001009,2025-04-01,4,top,2,0,2,Charlotte Comets,Austin Aces,1022,1013,1001,ball,strike,False,,-0.702,2.763,3.21,1.62
P0001010,2025-04-01,1,bottom,1,1,0,Austin Aces,Charlotte Comets,1007,1026,1015,ball,strike,False,,-0.52,1.627,3.21,1.62
P0001011,2025-04-01,4,top,1,3,0,Charlotte Comets,Austin Aces,1016,1011,1001,strike,strike,False,,0.358,2.39,3.21,1.62
P0001012,2025-04-01,4,bottom,0,2,1,Austin Aces,Charlotte Comets,1001,1027,1015,ball,ball,False,,-0.719,3.311,3.21,1.62
P0001013,2025-04-01,1,bottom,0,1,2,Austin Aces,Charlotte Comets,1006,1026,1015,strike,strike,False,,0.353,3.003,3.21,1.62
P0001014,2025-04-01,4,bottom,2,3,2,Austin Aces,Charlotte Comets,1004,1028,1015,strike,strike,False,,0.544,2.646,3.21,1.62
P0001015,2025-04-01,9,bottom,1,0,0,Austin Aces,Charlotte Comets,1008,1026,1015,strike,strike,False,,0.242,2.818,3.21,1.62
P0001016,2025-04-01,3,top,0,2,1,Charlotte Comets,Austin Aces,1018,1014,1001,ball,ball,False,,0.782,1.892,3.21,1.62
P0001017,2025-04-01,8,top,2,1,2,Charlotte Comets,Austin Aces,1020,1013,1001,strike,strike,False,,0.355,2.6,3.21,1.62
P0001018,2025-04-01,7,top,1,1,2,Charlotte Comets,Austin Aces,1023,1013,1001,strike,strike,False,,-0.222,1.728,3.21,1.62
P0001019,2025-04-01,4,bottom,0,2,0,Austin Aces,Charlotte Comets,1002,1024,1015,strike,ball,False,,-0.782,2.194,3.21,1.62
P0001020,2025-04-01,5,top,2,2,1,Charlotte Comets,Austin Aces,1019,1011,1001,strike,strike,False,,-0.552,3.002,3.21,1.62
P0001021,2025-04-01,7,bottom,2,3,1,Austin Aces,Charlotte Comets,1005,1026,1015,ball,ball,False,,-0.743,2.768,3.21,1.62
P0001022,2025-04-01,3,bottom,2,3,0,Austin Aces,Charlotte Comets,1009,1027,1015,ball,ball,False,,0.782,2.654,3.21,1.62
P0001023,2025-04-01,6,top,1,0,0,Charlotte Comets,Austin Aces,1017,1012,1001,strike,strike,False,,-0.248,1.985,3.21,1.62
P0001024,2025-04-01,1,bottom,0,0,2,Austin Aces,Charlotte Comets,1003,1028,1015,strike,strike,False,,0.563,1.952,3.21,1.62
P0000331,2025-04-02,1,top,0,0,0,Des Moines Dragons,Austin Aces,1032,1012,1001,strike,ball,True,CH00331,-0.795,2.544,3.21,1.62
P0000341,2025-04-02,9,top,0,2,0,Des Moines Dragons,Austin Aces,1033,1012,1001,strike,strike,True,CH00341,-0.204,3.014,3.21,1.62
P0000347,2025-04-02,6,bottom,2,3,1,Des Moines Dragons,Austin Aces,1035,1010,1001,strike,ball,True,CH00347,0.669,3.51,3.21,1.62
P0000572,2025-04-02,3,bottom,2,3,0,Des Moines Dragons,Austin Aces,1034,1011,1001,ball,strike,True,CH00572,-0.57,2.422,3.21,1.62
P0000676,2025-04-02,8,bottom,1,0,2,Austin Aces,Des Moines Dragons,1002,1042,1029,ball,strike,True,CH00676,0.222,3.132,3.21,1.62
P0001025,2025-04-02,1,top,1,0,1,Des Moines Dragons,Austin Aces,1029,1010,1001,strike,strike,False,,0.227,1.666,3.21,1.62
P0001026,2025-04-02,2,top,1,2,2,Des Moines Dragons,Austin Aces,1035,1011,1001,ball,ball,False,,0.357,3.675,3.21,1.62
P0001027,2025-04-02,6,bottom,0,1,2,Austin Aces,Des Moines Dragons,1008,1041,1029,strike,strike,False,,-0.274,2.678,3.21,1.62
P0001028,2025-04-02,4,top,0,3,0,Des Moines Dragons,Austin Aces,1037,1011,1001,ball,ball,False,,0.267,1.482,3.21,1.62
